,sequence,O,N,A,P,F,C,D,H,B,E,J,G,L,S
sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O,0,0,2068,42,78,0,249,15,0,18,27,150,3,0,0
N,0,0,48278,1141,7250,50,647,468,9,552,984,459,21,1,9
A,0,0,1125,908,236,203,21,76,3,114,52,30,3,0,0
P,0,0,6383,346,19201,60,162,235,12,226,383,265,3,2,6
F,0,0,99,149,36,100,3,9,0,9,9,5,0,0,0
C,0,0,213,3,30,6,105,0,0,9,9,9,0,0,0
D,0,0,532,76,110,3,12,22,48,36,24,45,0,0,0
H,0,0,52,6,11,3,0,21,6,6,0,21,3,0,3
B,0,0,546,73,154,0,24,39,0,195,212,21,35,0,0
E,0,0,1169,51,284,3,24,27,0,92,746,57,18,0,0
J,0,0,534,21,204,0,62,14,54,37,73,896,6,0,0
G,0,0,36,3,6,0,3,0,0,29,3,3,0,0,3
L,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
S,0,0,6,0,0,0,3,0,0,0,0,12,0,0,18
